Content type,Material type,ISBN,Name,Role,All names,Title,Variant titles,Series title,Country of publication,Publisher,Year of publication,Edition,Topics,Genres,Languages
Language material ; Text,Audiobook,9780718159399,Roald Dahl,,Roald Dahl ; Adrian Scarborough (reader) ; Derek Jacobi (reader) ; Juliet Stevenson (reader) ; Stephanie Beacham (reader) ; Stephen Mangan (reader) ; Tamsin Greig (reader),Kiss kiss,,,England,Penguin,2012,,,,English
Language material ; Still image ; Text,Volume,9780141346311,Roald Dahl,author,Roald Dahl ; Quentin Blake,James and the giant peach,,,England,Puffin,2013,,,Children's fiction,English
Language material ; Text,Volume,9780141346342,Roald Dahl,,Roald Dahl ; Quentin Blake,Matilda,,,England,Puffin,2013,,,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141346397,Roald Dahl,,Roald Dahl ; Quentin Blake,The Twits,,,England,Puffin,2013,,,Children's fiction,English
Language material ; Text,Volume,9780141346403,Roald Dahl,,Roald Dahl ; Quentin Blake,George's marvellous medicine,,,England,Puffin,2013,,,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141346410,Roald Dahl,author,Roald Dahl ; Quentin Blake,The witches,,,England,Puffin,2013,,Witches--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780141346427,Roald Dahl,,Roald Dahl ; Quentin Blake,The BFG,,,England,Puffin,2013,,Giants--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141346434,Roald Dahl,,Roald Dahl ; Quentin Blake,Danny the champion of the world,,,England,Puffin,2013,"New edition, illustrated by Quentin Blake",Poaching--Juvenile fiction,Children's fiction,English
Language material ; Text,Volume,9780141346441,Roald Dahl,,Roald Dahl ; Quentin Blake,Fantastic Mr Fox,,,England,Puffin,2013,New edition,Foxes--Juvenile fiction,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141346458,Roald Dahl,author,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,,England,Puffin,2013,"New edition, illustrated by Quentin Blake","Bucket, Charlie (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Text,Volume,9780141346465,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie and the great glass elevator,,,England,Puffin,2013,"New edition, illustrated by Quentin Blake","Bucket, Charlie (Fictitious character)--Juvenile fiction",Adventure ; Children's fiction,English
Language material ; Text,Volume,9780141346496,Roald Dahl,,Roald Dahl ; Quentin Blake,Esio trot,,,England,Puffin,2013,,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780142413852,Roald Dahl,author,Roald Dahl ; Quentin Blake,The magic finger,,,United States of America,Puffin,2013,"New edition, illustrated by Quentin Blake",,Children's fiction,English
Language material ; Text,Volume,9781907054525,Roald Dahl,,Sto?rlann Na?iseanta na Ga?idhlig ; Roald Dahl,"Dànaidh, laoch an t-saoghail",Danny the champion of the world. Scottish Gaelic,,Scotland,Stòrlann Nàiseanta na Gàidhlig,2012,,,,Gaelic
Language material ; Text,Volume,9781907054464,Roald Dahl,,Sto?rlann Na?iseanta na Ga?idhlig ; Roald Dahl,A' chorrag chrosta,Magic finger. Scottish Gaelic,,Scotland,Stòrlann Nàiseanta na Gàidhlig,2012,,,,Gaelic
Language material ; Still image ; Text,Volume,9780141345161,Roald Dahl,author,Roald Dahl ; Quentin Blake,Matilda,,,England,Puffin,2013,,,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9781782032755,,,Young Writers ; Mark Richardson (editor)  ; Roald Dahl,Phizz-whizzing stories. Bumplehumbugs,Bumplehumbugs,,England,YoungWriters,2013,,"School prose, English ; Roald Dahl--Adaptations ; Short stories, English ; English fiction--21st century",Adaptation,English
Language material ; Text,Volume,9780230441200,,,Frank Richard Stockton  ; Daniel Barber (editor)  ; Arthur Conan Doyle ; Roald Dahl ; Cleveland Moffett  ; Charlotte Perkins Gilman,Mystery stories,Lady or the tiger? ; Lost special ; Mildenhall treasure ; Mysterious card ; Yellow wallpaper,Macmillan literature collections,England,Macmillan,2013,,Readers for new literates ; Readers--Detective and mystery stories ; Reading comprehension,Detective and mystery fiction,English
Language material ; Text,Volume,9781782032724,,,Jenni Bannister (editor) ; Young Writers ; Roald Dahl,Phizz-whizzing stories. Fizzpopping fiction,Fizzpopping fiction,,England,YoungWriters,2013,,"School prose, English ; Roald Dahl--Adaptations ; Short stories, English ; English fiction--21st century",Adaptation,English
Language material ; Text,Volume,9781782032762,,,Helen Davies  ; Young Writers ; Roald Dahl,Phizz-whizzing stories. Gumbuzzlers,Gumbuzzlers,,England,YoungWriters,2013,,"High school students' writings, English ; Roald Dahl--Adaptations ; Short stories, English ; English fiction--21st century",Adaptation,English
Language material ; Text,Volume,9781782032694,,,Helen Davies  ; Young Writers ; Roald Dahl,Phizz-whizzing stories. Gobblefunk,Gobblefunk,,England,YoungWriters,2013,,"High school students' writings, English ; Roald Dahl--Adaptations ; Short stories, English ; English fiction--21st century",Adaptation,English
Language material ; Text,Volume,9781782032748,,,Donna Samworth (editor) ; Young Writers ; Roald Dahl,Phizz-whizzing stories. Fizzbombs,Fizzbombs,,England,YoungWriters,2013,,"High school students' writings, English ; Roald Dahl--Adaptations ; Short stories, English ; English fiction--21st century",Adaptation,English
Language material ; Text,Volume,9781782032830,,,Jenni Bannister (editor) ; Young Writers ; Roald Dahl,Phizz-whizzing stories. Twizzlepoppers,Twizzlepoppers,,England,YoungWriters,2013,,"School prose, English ; Roald Dahl--Adaptations ; Short stories, English ; English fiction--21st century",Adaptation,English
Language material ; Text,Volume,9781782032779,,,Donna Samworth (editor) ; Young Writers ; Roald Dahl,Phizz-whizzing stories. Mindbogglers,Mindbogglers,,England,YoungWriters,2013,,"High school students' writings, English ; Roald Dahl--Adaptations ; Short stories, English ; English fiction--21st century",Adaptation,English
Language material ; Still image ; Text,Volume,9780141346670,Roald Dahl,author,,Rhyme stew,,,England,Penguin,2013,,"Fairy tales ; Children's poetry, English",,English
Language material ; Still image ; Text,Volume,9781849671545,Roald Dahl,author,Elin Meek ; Roald Dahl ; Quentin Blake,Y bys hud,The magic finger. Welsh,,Wales,Rily,2013,,Hunting--Moral and ethical aspects--Juvenile fiction ; Magic--Juvenile fiction ; Hunters--Juvenile fiction,Children's fiction,Welsh
Language material ; Still image ; Text,Volume,9780141346472,Roald Dahl,author,Roald Dahl ; Quentin Blake,The enormous crocodile,,,England,Puffin,2013,,Crocodiles--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141346533,Roald Dahl,author,Roald Dahl ; Quentin Blake ; Roald Dahl,The complete adventures of Charlie and Mr Willy Wonka,Charlie and the chocolate factory ; Charlie and the great glass elevator ; Novels. Selections,,England,Puffin,2013,New edition,"Bucket, Charlie (Fictitious character)--Juvenile fiction ; Children's stories, English",Children's fiction,English
Language material ; Still image ; Text,Volume,9780141346663,Roald Dahl,author,Roald Dahl ; Quentin Blake,The giraffe and the pelly and me,,,England,Puffin,2013,,Pelicans--Juvenile fiction ; Giraffes--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141346687,Richard Maher,author,Sylvia Bond ; Richard Maher ; Quentin Blake,The Roald Dahl quiz book,Roald Dahl quiz book 1,,England,Puffin,2013,,"Children's stories, English--Miscellanea ; Roald Dahl--Miscellanea--Juvenile literature ; Children's questions and answers",Children's literature,English
Language material ; Still image ; Text,Volume,9780141346700,Roald Dahl,author,Roald Dahl ; Quentin Blake,Boy : tales of childhood,,,England,Puffin,2013,,"Roald Dahl--Childhood and youth--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Cartographic image ; Language material ; Still image ; Text,Volume,9780141346717,Roald Dahl,author,Roald Dahl,Going solo,,,England,Puffin,2013,,"Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Text,Volume,9780141346502,Roald Dahl,author,Roald Dahl,The wonderful story of Henry Sugar and six more,,,England,Puffin,2013,,"Young adult fiction, English",,English
Language material ; Still image ; Text,Volume,9780141346793,Roald Dahl,author,Roald Dahl ; Quentin Blake,Matilda,,,England,Puffin,2013,25th Anniversary Edition,,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141347875,Roald Dahl,author,Roald Dahl,Skin and other stories,,,England,Puffin,2013,,"Young adult fiction, English",,English
Language material ; Text,Volume,9780141347882,Roald Dahl,author,Roald Dahl,The great automatic grammatizator and other stories,,,England,Puffin,2013,,"Young adult fiction, English",,English
Language material ; Still image ; Text,Volume,9780141348797,Roald Dahl,author,Quentin Blake ; Kay Woodward (compiler) ; Roald Dahl,Roald Dahl's mischief and mayhem,,,England,Puffin,2013,,Wit and humor--Juvenile literature ; Practical jokes--Juvenile literature,Children's literature,English
Language material ; Still image ; Text,Volume,9780857551252,Roald Dahl,author,Roald Dahl ; Quentin Blake ; Roald Dahl,Roald Dahl's heroes and villains,Enormous crocodile ; George's marvellous medicine ; Giraffe and the pelly and me ; Heroes and villains ; Novels. Selections ; Twits,,England,Jonathan Cape,2013,,"Children's stories, English",,English
Language material ; Text,Volume,,Roald Dahl,author,Roald Dahl,The complete short stories,Short stories,,England,Penguin,2013,,,,English
Language material ; Still image ; Text,Volume,9780857551207,Roald Dahl,author,Roald Dahl ; Quentin Blake,The giraffe and the pelly and me,,,England,Jonathan Cape,2013,,Pelicans--Juvenile fiction ; Giraffe--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Text,Volume,9780141348384,Roald Dahl,,,Revolting rhymes and dirty beasts,,,England,Puffin,2013,,,,English
Language material ; Still image ; Text,Volume,9780141348674,Roald Dahl,author,Roald Dahl ; Quentin Blake,Esio trot,,,England,Puffin,2013,Colour edition,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141350370,Roald Dahl,author,Roald Dahl ; Quentin Blake,Revolting rhymes,,,England,Puffin,2013,,"Stories in rhyme ; Children's poetry, English",,English
Language material ; Still image ; Text,Volume,9780141350387,Roald Dahl,author,Roald Dahl ; Quentin Blake,The enormous crocodile,,,England,Puffin,2013,,Crocodiles--Pictorial works--Juvenile fiction,Children's fiction ; Humour or satire ; Pictorial work,English
Language material ; Still image ; Text,Volume,9780141350554,Roald Dahl,author,Patrick Benson (artist) ; Roald Dahl,The Minpins,,,England,Puffin,2013,,Dwarfs--Pictorial works--Juvenile fiction,Children's fiction ; Pictorial work,English
Language material ; Text,Volume,9781849671170,Roald Dahl,author,Elin Meek ; Roald Dahl ; Quentin Blake,Nab Wrc,Esio Trot. Welsh,,Wales,Rily,2012,,Testudinidae as pets--Juvenile fiction,Children's fiction,Welsh
Language material ; Still image ; Text,Volume,9780141348827,Roald Dahl,author,Roald Dahl ; Quentin Blake,Fantastic Mr Fox,,,England,Puffin,2014,"Colour edition, illustrated by Quentin Blake",Foxes--Juvenile fiction,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141348834,Roald Dahl,author,Roald Dahl ; Quentin Blake,The Twits,,,England,Puffin,2014,,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141350578,Roald Dahl,author,Roald Dahl ; Quentin Blake,The giraffe and the pelly and me,,,England,Puffin,2014,,Pelicans--Juvenile fiction ; Giraffe--Juvenile fiction,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141352978,Roald Dahl,author,Roald Dahl ; Quentin Blake,"Boy : and, Going Solo",Boy ; Going Solo ; Works. Selections,,England,Puffin,2013,,"Roald Dahl--Juvenile literature ; Roald Dahl--Childhood and youth--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Still image ; Text,Volume,9780141331218,Roald Dahl,,Roald Dahl ; Quentin Blake,Willy Wonka's whipplescrumptious annual 2011,Charlie and the chocolate factory ; Fantastic Mr. Fox ; James and the giant peach ; Roald Dahl whipplescrumptious annual 2011,,England,Puffin,2010,,"Creative activities and seat work--Juvenile literature ; Children's stories, English",Children's literature,English
Language material ; Text,Volume,9781442222526,Jacob M. Held,,,Roald Dahl and philosophy : a little nonsense now and then,,,United States of America,Rowman & Littlefield,2014,,"Children's stories, English--History and criticism ; Roald Dahl--Criticism and interpretation ; Philosophy in literature",,English
Language material ; Still image ; Text,Volume,9780141334370,Roald Dahl,author,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,,England,Puffin,2014,Colour edition,"Bucket, Charlie (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Still image ; Text,Volume,9780141348681,Roald Dahl,author,Roald Dahl ; Quentin Blake,The magic finger,,,England,Puffin,2014,"Colour edition, illustrated by Quentin Blake",,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141350547,Roald Dahl,author,Roald Dahl ; Quentin Blake,Dirty beasts,,,England,Puffin,2014,,"Humorous poetry, English ; Children's poetry, English",,English
Language material ; Text,Volume,9781782038054,,,Young Writers ; Cheryl Whitfield (editor) ; Roald Dahl,Phizz-whizzing stories. Wimplesquiffing wonders,Wimplesquiffing wonders,,England,Young Writers,2014,,"Short stories, English--England ; School prose, English--England ; Children's stories, English ; English fiction--21st century",,English
Language material ; Text,Volume,9781782038061,,,Cheryl Whitfield (editor)  ; Young Writers ; Roald Dahl,Phizz-whizzing stories. Twaddle-twisting tales,Twaddle-twisting tales,,England,Young Writers,2014,,"Short stories, English--England ; School prose, English--England ; Children's stories, English ; English fiction--21st century",,English
Language material ; Text,Volume,9781782038146,,,Young Writers ; Charlie Fletcher (editor) ; Roald Dahl,Phizz-whizzing stories. Tales of twizzlepop,Tales of twizzlepop,,England,Young Writers,2014,,"Short stories, English--England ; School prose, English--England ; Children's stories, English ; English fiction--21st century",,English
Language material ; Text,Volume,9781782038160,,,Donna Samworth (editor)  ; Young Writers ; Roald Dahl,Phizz-whizzing stories. Fizzbombing fiction,Fizzbombing fiction,,England,Young Writers,2014,,"Short stories, English--England ; School prose, English--England ; Children's stories, English ; English fiction--21st century",,English
Language material ; Text,Volume,9781782038238,,,Young Writers ; Shobhna Patel (editor) ; Roald Dahl,Phizz-whizzing stories. Flibbertigibbety,Flibbertigibbety,,England,Young Writers,2014,,"School prose, English--England ; School prose, English--Scotland ; Children's stories, English ; English fiction--21st century ; Short stories, English--England ; Short stories, English--Scotland",,English
Language material ; Text,Volume,9781849671958,Roald Dahl,author,Elin Meek ; Roald Dahl ; Quentin Blake,Moddion rhyfeddol George,George's marvellous medicine. Welsh,,Wales,Rily,2014,,,Children's fiction ; Humour or satire,Welsh
Language material ; Still image ; Text,Volume,9780141348803,Roald Dahl,author,Roald Dahl ; Quentin Blake,George's marvellous medicine,,,England,Puffin,2014,Colour edition,,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141348810,Roald Dahl,author,Roald Dahl ; Quentin Blake,James and the giant peach,,,England,Puffin,2014,New edition,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141350776,Lucy Mangan,author,,"Inside Charlie's chocolate factory : the complete story of Willy Wonka, the golden ticket and Roald Dahl's most famous creation",,,England,Penguin,2014,,Roald Dahl--Juvenile literature ; Charlie and the chocolate factory (Motion picture)--Juvenile literature,Children's literature,English
Language material ; Still image ; Text,Volume,9780141355238,Roald Dahl,author,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,,England,Puffin,2014,New edition,"Bucket, Charlie (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Spoken word ; Still image ; Text,Audiobook,9780141357317,Roald Dahl,author,Douglas Hodge ; Roald Dahl,Charlie and the chocolate factory,,,England,Puffin,2014,,"Bucket, Charlie (Fictitious character)--Juvenile fiction ; Wonka, Willy (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Text,Volume,9780141394589,Roald Dahl,author,,Charlie and the chocolate factory,,Penguin modern classics,England,Penguin,2014,"New edition, introduction by Sam Mendes","Bucket, Charlie (Fictitious character)--Fiction",Fiction,English
Language material ; Still image ; Text,Volume,9780857551610,Roald Dahl,,,Esio Trot,,,England,Random House,2014,,,,English
Language material ; Still image ; Text,Volume,9780141353227,Roald Dahl,author,,Roald Dahl treasury,Works. Selections,,England,Puffin,2015,New edition,"Children's literature, English",,English
Language material ; Text,Volume,9781784433222,,,Young Writers ; Jenni Bannister (editor) ; Roald Dahl,Phizz-whizzing words. Whizzfizzlers,Whizzfizzlers,,England,Young Writers,2015,,"School prose, English--England ; Children's stories, English ; English poetry--21st century ; English fiction--21st century ; School Verse, English--England ; Short stories, English--England ; School prose, English--Wales ; Short stories, English--Wales",,English
Language material ; Text,Volume,9781784433284,,,Donna Samworth (editor)  ; Young Writers ; Roald Dahl,Phizz-whizzing words. Poplefizzers,Poplefizzers,,England,Young Writers,2015,,"Short stories, English--Great Britain ; Children's stories, English ; English poetry--21st century ; English fiction--21st century ; School Verse, English--Great Britain ; School prose, English--Great Britain",,English
Language material ; Text,Volume,9781784433277,,,Young Writers ; Jenni Bannister (editor)  ; Roald Dahl,Phizz-whizzing words. Whamspifflers,Whamspifflers,,England,Young Writers,2015,,"Short stories, English--Great Britain ; Children's stories, English ; English poetry--21st century ; English fiction--21st century ; School Verse, English--Great Britain ; School prose, English--Great Britain",,English
Language material ; Text,Volume,9781784433291,,,Donna Samworth (editor)  ; Young Writers ; Roald Dahl,Phizz-whizzing words. Fizzing whizzbees,Fizzing whizzbees,,England,Young Writers,2015,,"Short stories, English--Great Britain ; Children's stories, English ; English poetry--21st century ; English fiction--21st century ; School Verse, English--Great Britain ; School prose, English--Great Britain",,English
Language material ; Text,Volume,9781784433260,,,Young Writers ; Cheryl Whitfield (editor)  ; Roald Dahl,Phizz-whizzing words. Fizzbangers,Fizzbangers,,England,Young Writers,2015,,"Short stories, English--Great Britain ; Children's stories, English ; English poetry--21st century ; English fiction--21st century ; School Verse, English--Great Britain ; School prose, English--Great Britain",,English
Language material ; Spoken word ; Text,Audiobook,9780141358666,Roald Dahl,author,"Quentin Blake ; Ayoade, Richard, 1977-, narrator  ; Roald Dahl",The Twits,,,England,Puffin,2015,,,Children's fiction,English
Language material,,9780141181356,Roald Dahl,,,Someone Like You,,,England,PHSA ; Pearson ; Penguin ; United Book,2015,,,,English
Language material ; Text,Volume,9781849672481,Roald Dahl,author,Elin Meek ; Roald Dahl,Y gwrachod,Witches. Welsh,,Wales,Rily,2015,,,Children's fiction,Welsh
Language material ; Text,Volume,9781848424746,Enda Walsh,author,Royal Court Theatre (organisation) ; Enda Walsh  ; Roald Dahl,Roald Dahl's The Twits,Twits,,England,Nick Hern ; Royal Court Theatre ; association,2015,,,,English
Language material ; Text,eBook,9781780015781,Enda Walsh,author,Enda Walsh  ; Roald Dahl,Roald Dahl's The Twits,Twits,NHB modern plays,England,Nick Hern,2015,,,,English
Language material ; Text,Volume,9780141328874,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory pop-up book,,,England,Puffin,2011,Abridged pop-up edition,"Pop-up books--Specimens ; Wonka, Willy (Fictitious character)--Pictorial works--Juvenile fiction ; Chocolate factories--Pictorial works--Juvenile fiction ; Bucket, Charlie (Fictitious character)--Pictorial works--Juvenile fiction ; Children's stories--Pictorial works",Children's fiction ; Pictorial work ; Specimen,English
Language material ; Still image ; Text,Volume,9780141344089,Roald Dahl,author,Roald Dahl ; Quentin Blake,The BFG,,,England,Puffin,2015,,,Children's fiction ; Humour or satire,English
Language material ; Text,Computer disc ; Volume,9781407142227,Debbie Rigard,author,Sarah Ellen Burt ; Debbie Rigard  ; Roald Dahl,Activities based on The Twits by Roald Dahl,Twits,Read & respond,England,Scholastic,2015,Second edition,Literacy--Study and teaching (Elementary)--Activity programs--Great Britain ; Roald Dahl,,English
Language material ; Still image ; Text,Volume,9780141362168,Roald Dahl,author,Roald Dahl ; Quentin Blake,The Twits,,,England,Puffin,2015,,,Children's fiction,English
Language material ; Text,Volume,9780573704048,David Wood,,Roald Dahl ; David Wood,The magic finger,Magic finger,,England,Samuel French,2015,A Samuel French acting edition,Magic--Drama,Drama,English
Language material,,9781849672535,Roald Dahl,,,Matilda,,,England,Rily Publications ; Welsh Books Council,2015,,,,English
Language material ; Text,Volume,9781849672856,Roald Dahl,,Elin Meek ; Roald Dahl,Pecyn Roald Dahl. 3,,,England,Rily Publications ; Welsh Books Council,2015,,,,English
Language material ; Text,Volume,9781849672863,Roald Dahl,,Elin Meek ; Roald Dahl,Pecyn Roald Dahl. 2,,,England,Rily Publications ; Welsh Books Council,2015,,,,English
Language material ; Still image ; Text,Volume,9780141365688,Puffin,,,Who was Roald Dahl?,,,England,Puffin,2016,,"Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Text,Volume,9780141367927,Roald Dahl,author,Roald Dahl ; Quentin Blake,The great mouse plot,Boy,,England,Puffin,2016,,Roald Dahl--Childhood and youth--Juvenile literature,Children's literature,English
Language material ; Text,Volume,9781443882583,Laura Valle,author,,De-constructing Dahl,,,England,Cambridge Scholars,2015,,Roald Dahl--Criticism and interpretation,,English
Language material ; Still image ; Text,Volume,9780141365374,Roald Dahl,author,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,,England,Puffin,2016,,"Wonka, Willy, (Fictitious character)--Juvenile fiction ; Bucket, Charlie, (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Still image ; Text,Volume,9780141365381,Roald Dahl,author,Roald Dahl ; Quentin Blake,Charlie and the great glass elevator,,,United Kingdom,Puffin,2016,New edition,"Wonka, Willy, (Fictitious character)--Juvenile fiction ; Bucket, Charlie, (Fictitious character)--Juvenile fiction",Adventure ; Children's fiction,English
Language material ; Still image ; Text,Volume,9780141365398,Roald Dahl,author,Roald Dahl ; Quentin Blake,The complete adventures of Charlie and Mr Willy Wonka,Charlie and the chocolate factory ; Charlie and the great glass elevator ; Novels. Selections,,England,Puffin,2016,,"Wonka, Willy, (Fictitious character)--Juvenile fiction ; Children's stories, English ; Bucket, Charlie, (Fictitious character)--Juvenile fiction",Children's fiction,English
Language material ; Still image ; Text,Volume,9780141365404,Roald Dahl,author,Roald Dahl ; Quentin Blake,The magic finger,,,England,Puffin,2016,,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141365411,Roald Dahl,author,Roald Dahl ; Quentin Blake,Danny the champion of the world,,,England,Puffin,2016,,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141365428,Roald Dahl,author,Roald Dahl ; Quentin Blake,The BFG,,,United Kingdom,Puffin,2016,,,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141365435,Roald Dahl,author,Roald Dahl ; Quentin Blake,The giraffe and the pelly and me,,,England,Puffin,2016,,,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141365442,Roald Dahl,author,Roald Dahl ; Quentin Blake,Fantastic Mr Fox,,,England,Puffin,2016,,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141365459,Roald Dahl,author,Roald Dahl ; Quentin Blake,James and the giant peach,,,England,Puffin,2016,,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141365466,Roald Dahl,author,Roald Dahl ; Quentin Blake,Matilda,,,England,Puffin,2016,,,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141365473,Roald Dahl,author,Roald Dahl ; Quentin Blake,The witches,,,England,Puffin,2016,,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141365480,Roald Dahl,author,Roald Dahl ; Quentin Blake,Esio trot,,,England,Puffin,2016,,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141365497,Roald Dahl,author,Roald Dahl ; Quentin Blake,The Twits,,,England,Puffin,2016,,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141365503,Roald Dahl,author,Roald Dahl ; Quentin Blake,George's marvellous medicine,,,England,Puffin,2016,,,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141365510,Roald Dahl,author,Roald Dahl ; Quentin Blake,The enormous crocodile,,,England,Puffin,2016,,,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141365527,Roald Dahl,author,Roald Dahl ; Quentin Blake,Rhyme stew,,,England,Puffin,2017,,"Humorous poetry, English ; Children's poetry, English",,English
Language material ; Still image ; Text,Volume,9780141365534,Roald Dahl,author,Roald Dahl ; Quentin Blake,Boy : tales of childhood,,,England,Puffin,2016,,"Roald Dahl--Childhood and youth--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Still image ; Text,Volume,9780141365541,Roald Dahl,author,Roald Dahl ; Quentin Blake,"Boy : and, Going solo",Going solo ; Works. Selections,,England,Puffin,2016,"New edition, illustrations by Quentin Blake","Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Still image ; Text,Volume,9780141365558,Roald Dahl,author,Roald Dahl ; Quentin Blake,Going solo,,,England,Puffin,2016,,"Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material ; Still image ; Text,Volume,9780141367378,Roald Dahl,author,,More about Boy,Boy,,England,Puffin,2016,New edition,"Roald Dahl--Juvenile literature ; Authors, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Language material,,9781849673075,Roald Dahl,,Roald Dahl ; Quentin Blake,Charlie A'r Ffatri Siocled,,,England,Rily Publications ; Welsh Books Council,2015,,,,English
Language material ; Still image ; Text,Volume,9780141369228,Roald Dahl,author,,The Roald Dahl treasury,Works. Selections,,England,Puffin,2016,New edition,"Children's literature, English",,English
Language material ; Still image ; Text,Volume,9780141369235,Roald Dahl,author,,Songs and verse,,,England,Puffin,2016,,"Children's poetry, English",,English
Language material ; Still image ; Text,Volume,9780141369280,Roald Dahl,author,Roald Dahl ; Quentin Blake,Fantastic Mr Fox,,,England,Puffin,2016,,,Children's fiction,English
Language material ; Still image ; Text,Volume,9780141369303,Roald Dahl,author,Roald Dahl ; Quentin Blake,The enormous crocodile,,,England,Puffin,2016,,,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141369310,Roald Dahl,author,Roald Dahl ; Quentin Blake,The magic finger,,,England,Puffin,2016,,,Children's fiction,English
Language material,,9781849673372,Roald Dahl,,Elin Meek ; Roald Dahl,Pecyn Roald Dahl 4,,,England,Rily Publications ; Welsh Books Council,2016,,,,English
Language material ; Text,Online resource,9781137296221,Ann Alston,,Catherine Butler,Roald Dahl,,New Casebooks,England ; United Kingdom,Palgrave Macmillan,2012,,"English, Irish, Scottish, Welsh ; Literary Criticism & Collections ; Humorous Stories ; Children's & young adult: general non-fiction ; Children's literature studies: general",,English
Language material ; Still image ; Text,Volume,9780141361321,Roald Dahl,author,Roald Dahl ; Quentin Blake,The BFG,,,England,Puffin,2016,New edition,,Children's fiction ; Humour or satire,English
Language material ; Text,Computer disc ; Volume,9781407158792,Eileen Jones,author,,Charlie and the chocolate factory,,Read & respond,England,Scholastic,2016,Second edition,Literacy--Study and teaching (Early childhood)--Activity programs--Great Britain ; Roald Dahl,,English
Language material ; Spoken word ; Still image ; Text,Audiobook,9780141358659,Roald Dahl,author,Quentin Blake ; David Walliams (narrator)  ; Roald Dahl,The BFG,,,England,Puffin,2016,,,Children's fiction ; Humour or satire,English
Language material ; Still image ; Text,Volume,9780141368238,Roald Dahl,author,Roald Dahl ; Quentin Blake,Whizzpopping joke book,,,England,Puffin,2016,,"Wit and humor, Juvenile",,English
Language material ; Still image ; Text,Volume,9780192736451,Roald Dahl,author,Quentin Blake ; Susan Rennie (compiler) ; Roald Dahl,Oxford Roald Dahl Dictionary,,,England,Oxford University Press,2016,,Children's encyclopedias and dictionaries--Pictorial works ; Children's reference books--Pictorial works ; Picture dictionaries--Juvenile literature--Pictorial works,Children's literature ; Pictorial work,English
